City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,saint croix,17.7397,-64.7388,30.25,66,40,4.63,VI,1685112598
301,almeirim,-1.5233,-52.5817,30.69,60,98,2.14,BR,1685112598
302,vladimiro-aleksandrovskoye,42.8944,133.0778,11.16,87,55,0.39,RU,1685112598
303,malango,-2.9627,119.9001,20.17,99,98,0.47,ID,1685112598
304,burang,30.25,81.1667,2.43,84,85,2.69,CN,1685112598
305,taksimo,56.3444,114.8794,5.42,74,100,2.02,RU,1685112598
306,sinabang,2.4803,96.3801,26.89,84,90,2.9,ID,1685112598
307,konarka,19.9,86.1167,29.22,87,41,6.14,IN,1685112598
308,ludza,56.55,27.7167,18.6,38,8,3.53,LV,1685112598
309,ilheus,-14.7889,-39.0494,28.9,74,75,8.23,BR,1685112599
310,zapatoca,6.8153,-73.2677,18.42,78,100,1.45,CO,1685112599
311,chizhou,30.6578,117.4831,22.7,96,100,1.26,CN,1685112599
312,idri,27.5,13.2667,34.49,10,3,11.19,LY,1685112599
313,fisterra,42.9049,-9.2629,19.3,70,67,3.65,ES,1685112599
314,isangel,-19.55,169.2667,21.1,70,2,2.43,VU,1685112599
315,vila velha,-20.3297,-40.2925,25.97,80,75,3.6,BR,1685112438
316,lompoc,34.6391,-120.4579,13.34,80,0,0.89,US,1685112599
317,elko,41.0002,-115.5012,7.01,62,95,0.47,US,1685112496
318,port macquarie,-31.4333,152.9167,13.27,83,97,6.91,AU,1685112428
319,ridgecrest,35.6225,-117.6709,17.48,51,0,2.06,US,1685112383
320,yoichi,43.2039,140.7703,13.6,92,98,2.95,JP,1685112600
321,morinville,53.8001,-113.652,15.48,64,0,2.57,CA,1685112600
322,grande prairie,55.1667,-118.8027,10.1,93,20,1.03,CA,1685112492
323,eirunepe,-6.6603,-69.8736,29.39,66,97,0.61,BR,1685112600
324,caluula,11.9661,50.7569,30.47,74,6,2.58,SO,1685112601
325,tekkali,18.6167,84.2333,29.47,82,33,3.56,IN,1685112601
326,san patricio,28.017,-97.5169,28.92,58,5,5.2,US,1685112601
327,sao jose da coroa grande,-8.8978,-35.1478,27.8,76,23,4.9,BR,1685112602
328,gonabad,34.3529,58.6837,33.04,14,0,0.0,IR,1685112603
329,mitu,1.1983,-70.1733,26.16,88,100,0.38,CO,1685112603
330,abepura,-2.6333,140.5833,25.45,89,40,1.03,ID,1685112604
331,le lorrain,14.8329,-61.0567,32.09,29,100,4.89,MQ,1685112606
332,hami,42.8,93.45,22.07,20,91,4.05,CN,1685112607
333,newman,37.3138,-121.0208,15.19,79,2,1.79,US,1685112608
334,pontes e lacerda,-15.2261,-59.3353,30.77,51,28,2.14,BR,1685112493
335,hun,29.1268,15.9477,34.45,12,17,9.67,LY,1685112609
336,kenai,60.5544,-151.2583,6.75,100,100,4.63,US,1685112610
337,khandyga,62.6667,135.6,2.63,95,91,1.83,RU,1685112610
338,sao joao da barra,-21.6403,-41.0511,25.05,68,32,5.01,BR,1685112611
339,solleftea,63.1667,17.2667,10.92,39,99,6.21,SE,1685112613
340,inhambane,-23.865,35.3833,24.99,69,20,6.17,MZ,1685112613
341,griffith,41.5284,-87.4237,18.97,49,11,0.89,US,1685112615
342,waddan,29.1614,16.139,34.14,13,13,8.84,LY,1685112616
343,edna,28.9786,-96.6461,28.39,76,45,3.64,US,1685112616
344,gornyy,55.1153,83.9059,7.64,56,94,2.3,RU,1685112617
345,tateyama,34.9833,139.8667,18.86,74,100,4.18,JP,1685112617
346,huangpi,30.8845,114.3779,22.06,100,100,2.0,CN,1685112618
347,brookings,44.3114,-96.7984,21.72,48,0,1.34,US,1685112618
348,halmstad,56.6745,12.8568,15.73,51,0,8.23,SE,1685112619
349,onokhoy,51.932,108.0747,3.86,88,1,1.93,RU,1685112619
350,iquique,-20.2208,-70.1431,20.02,64,76,4.21,CL,1685112570
351,guiuan,11.0333,125.7247,28.23,79,52,3.81,PH,1685112620
352,glenvale,-27.5648,151.9076,5.49,84,0,1.34,AU,1685112620
353,malvan,16.0667,73.4667,29.42,75,0,4.35,IN,1685112620
354,vel'sk,61.0701,42.0983,17.62,64,66,3.55,RU,1685112621
355,stettler,52.3168,-112.7186,10.42,87,9,1.03,CA,1685112621
356,mogadishu,2.0371,45.3438,28.93,79,75,3.6,SO,1685112622
357,abergavenny,51.821,-3.0174,21.21,64,11,4.75,GB,1685112623
358,puerto deseado,-47.7503,-65.8938,5.31,59,11,7.5,AR,1685112624
359,george,-33.963,22.4617,15.75,48,0,4.12,ZA,1685112625
360,sausset-les-pins,43.3314,5.1043,28.18,47,0,6.69,FR,1685112631
361,seaside,36.6111,-121.8516,13.41,86,100,1.54,US,1685112401
362,katpur,21.05,71.7833,30.13,69,0,8.88,IN,1685112631
363,pacasmayo,-7.4006,-79.5714,23.95,74,58,5.63,PE,1685112632
364,parambu,-6.2111,-40.6944,32.5,35,9,4.81,BR,1685112632
365,timbuktu,16.7735,-3.0074,41.68,11,15,6.86,ML,1685112633
366,al bardiyah,31.7561,25.0865,29.81,35,10,3.79,LY,1685112634
